skill,question_index,type,question,choices,skill_url
Determine the main idea of a passage,1,multiple-choice,"Read the passage. Blooms in Death Valley In March 2016, Death Valley National Park in the US state of California experienced a rare occurrence: thousands of yellow wildflowers covered the region in a 'super bloom'. Why was this unusual? Death Valley is the hottest and driest place in North America. The area's average yearly precipitation is just five centimetres, making it a challenging place for flowers to grow. However, in October 2015, the valley had received more than eight centimetres of rain in some areas. As a result of the unusually wet season, wildflower seeds that had been lying dormant underground suddenly began to grow, producing an abundance of golden blooms. What is the main, or central, idea of the passage?","Because of the hot, dry conditions in Death Valley, it is difficult for flowers to grow there. | Because of an unusual amount of rain, thousands of wildflowers grew in Death Valley in 2016.",https://uk.ixl.com/english/year-9/determine-the-main-idea-of-a-passage
Match the quotations with their themes,2,unknown,"Read the quotations below from Libba Bray's A Great and Terrible Beauty. Match each one with the theme or lesson it suggests. Not being able to talk about something can be a burden. Good things stand out only next to bad things. Quotation Theme And I could only stand by . . . The keeper of a secret so terrible it made me afraid to speak, scared that it would pour out of me like kerosene, burning everyone. 'Because you don't notice the light without a bit of shadow. Everything has both dark and light.' © 2003 Martha E. Bray Submit",,https://uk.ixl.com/english/year-9/match-the-quotations-with-their-themes
Determine the themes of short stories,1,multiple-choice,"Read the following story. The Puddle Marco was frustrated. It was another rainy day in the city. His paintbrushes and easel sat in the dreary light of the grey morning. On his wall hung his best paintings: an apple orchard with red fruit bursting with colour; a beach under a blue sky; and the ocean sparkling in the summer sun. He fondly recalled painting each scene. Last week, Marco had been painting the flower garden in the park when the rain started. His canvas of pink blossoms was now leaning against the back of the easel in his flat, half-finished, waiting. The thick clouds and pouring rain showed no sign of leaving. Later that morning, as Marco gazed out the window, something small caught his eye: a puddle in the street reflected the neon sign of a shopfront. After studying the puddle, Marco set up his easel by the window. Instead of seeing a simple, gloomy blur, Marco noticed that the puddle captured not only the neon sign but also the steel-coloured sky and a leafless tree branch. Marco noted the richness of the paint colours as he mixed different greys. Bright orchards and sunny beaches were a familiar challenge, but there were no sharp contrasts in the dark, watery world in that puddle. It was hard at first, but Marco's brushstrokes grew more confident as the morning wore on. Soon he had developed the right techniques for creating the misty shadows and fuzzy neon light. Hours passed before Marco realised how immersed he was. After he had finished the scene and the paint had dried, he hung the canvas on his wall. The new painting added depth to his collection, and even more depth to his pride as an artist. Which of the following best describes the main theme or lesson of the story?",Stick to doing what you know. | It's good to tackle new challenges.,https://uk.ixl.com/english/year-9/determine-the-themes-of-short-stories
Identify the author's purpose,1,multiple-choice,"Read the text. Good study habits train your brain for success. Applying effective learning methods will not only improve your grades but, more importantly, increase your long-term knowledge. Cramming at the last minute is ineffective. Instead, try to create a study routine. Schedule specific blocks of time to study every day. Next, find the best environment that helps you concentrate. Some students do better with the silence of a library, while others need the background noise or music of a public space. Now that you have a time and a place, you need a strategy. Look at your tasks and make a list. Setting small, manageable goals for your study session will help you work efficiently. Do the most difficult assignments first, while your mind is fresh. Finally, do not be afraid to take limited breaks to restore your motivation. Which author's purpose is suggested by the text?",to explain some productive study techniques to readers | to inform readers about the results of good study habits,https://uk.ixl.com/english/year-9/identify-the-authors-purpose
Which sentence is more formal?,1,multiple-choice,Which sentence is more formal?,Dr Hall and her team travelled on horseback to a remote village that had no modern medical services. | Dr Hall and her team took horses and went to a place that had no modern medical services.,https://uk.ixl.com/english/year-9/which-sentence-is-more-formal
Compare passages for tone,1,unknown,"Select the passage that has a more concerned tone. Then I could hear a policeman giving orders, but I did not even open my eyes; I could only draw a breath now and then. I cannot tell how long I lay there, but I found my life coming back, and a kind-voiced man was patting me and encouraging me to rise. I gasped for breath—and yet the officers heard it not. Why would they not be gone? I paced the floor to and fro with heavy strides, as if excited to fury by the observations of the men—but the noise steadily increased. Oh, God! What could I do? Adapted from Anna Sewell, Black Beauty and Edgar Allen Poe, 'The Tell-Tale Heart' Submit",,https://uk.ixl.com/english/year-9/compare-passages-for-tone
Determine the author's point of view,2,multiple-choice,"Read the text. When I decided it was time for a new hobby, I signed up for a 'Clowning for Fun and Profit' class at my local arts centre. I cheerily skipped through the door on the first day of class, but my heart sank as soon as I spotted the instructor, Bobo. Bobo turned out to be a sad-faced clown who refused to speak. It was clear he planned to teach entirely in mime. As he silently motioned for me to find my seat, I resigned myself to a bad experience. So imagine my surprise when this crazy class turned out to be invaluable to me! Although I didn't hear a single spoken word for five hours, Bobo somehow managed to express his ideas clearly and in an engaging way. By the end of the first session, he had expertly taught me how to make balloon animals, apply makeup, juggle beanbags and develop my own personal clown character. As I eagerly await the second session, 'All About Unicycles', I will begin clowning around as a volunteer at a local children's hospital. Which sentence best summarises the author's point of view about the clown class?","Bobo's sad demeanour and poor mime skills make it difficult for his students to learn effective clowning techniques. | Bobo uses eccentric teaching methods to efficiently teach this course, making him an excellent clowning instructor.",https://uk.ixl.com/english/year-9/determine-the-authors-point-of-view
Compare and contrast in informational texts,1,unknown,"Use the text to compare and contrast Creole cuisine and Cajun cuisine. Thanks to Cajun and Creole cuisines, no other state in America has such distinctive food as Louisiana does. The word Cajun describes French settlers who were forced out of Canada and settled in south Louisiana. In their new rural surroundings, these poor settlers developed their own type of food. Creole cuisine is different from Cajun in that it reflects a blend of many cultures. African, Caribbean, Native American, Spanish and Italian influences can all be found in Creole food. Unlike Cajun cuisine, Creole cuisine was born in the kitchens of New Orleans's upper class, who had access to ingredients like tomatoes, butter and oysters. For this reason, Creole cuisine tends to have more variety. Creole cuisine Cajun cuisine Is found in Louisiana Reflects a wide mix of cultures Developed in the kitchens of the wealthy Submit",,https://uk.ixl.com/english/year-9/compare-and-contrast-in-informational-texts
Match causes and effects in informational texts,1,unknown,"Read the text. Black mambas are fast, aggressive and venomous. It is no wonder that they are considered one of the deadliest snakes in the world. In general, the snakes actually try to avoid confrontation. However, a perceived threat to a black mamba will result in several reactions meant to warn a potential victim. First, the black mamba raises its head, spreads out its neck-flap, opens its black mouth and hisses. A threat that continues will lead to a more dangerous reaction: the mamba will bite its victim repeatedly, injecting its poisonous venom. For most of history, a mamba bite would mean certain death. Today, though, an effective antivenom is available. Match causes with their effects. Black mamba injects victim with venom. Black mamba hisses. Cause Effect Black mamba perceives a new threat. Black mamba perceives a continuing threat. Submit",,https://uk.ixl.com/english/year-9/match-causes-and-effects-in-informational-texts
Match problems with their solutions,1,unknown,"Read the text. Before British scientist Alexander Fleming discovered antibiotics in the 1920s, bacterial infections could be deadly. After antibiotics were developed, though, doctors were able to treat infections and save lives. Over the years, however, antibiotics were overused. As a result, antibiotic-resistant bacteria—also known as superbugs—have appeared. According to the Centers for Disease Control and Prevention in the United States, about two million people become infected with superbugs every year. Canadian scientists may have stumbled on a surprising tool to combat the overuse of the drugs. By mixing maple syrup extract with antibiotics, the researchers were able to increase their effectiveness while reducing the dose amount. Match the problems with their solutions. Antibiotics were invented. Scientists mixed maple syrup with medication. Problem Solution Infections killed people. Superbugs emerged. Submit",,https://uk.ixl.com/english/year-9/match-problems-with-their-solutions
Identify text structures,1,multiple-choice,"Read the text. When a person ingests caffeine, whether in the form of a cup of coffee or tea, a caffeinated soda pop or even a piece of dark chocolate, the drug begins to take effect almost immediately. First, caffeine enters the bloodstream through the membranes of the stomach and small intestine. It is then metabolised by the liver, which breaks it down into other chemicals. Within fifteen minutes of consumption, most people begin to feel the effects of caffeine, which can include increased heart rate and feelings of alertness or well-being. Within six hours of consumption, about half of the original dose of the drug will have been eliminated from the body. This is why some people drink a second cup of coffee in the afternoon. Which organisational structure does this text primarily use?",problem-solution | sequential,https://uk.ixl.com/english/year-9/identify-text-structures
Interpret the meaning of an allusion from its source,1,multiple-choice,"Read the source of the allusion. The character Pollyanna, from Eleanor Porter's children's book, is a young girl who finds good in everything and everyone. What is the meaning of the allusion in the sentence below? 'Nicole is such a Pollyanna!' Hakim announced with a sigh.",an unintelligent person,https://uk.ixl.com/english/year-9/interpret-the-meaning-of-an-allusion-from-its-source
Recall the source of an allusion,1,multiple-choice,"What is the source of the allusion in the sentence below? When I learned the details of Florence's Faustian bargain, I was in disbelief.",literature | Roman mythology,https://uk.ixl.com/english/year-9/recall-the-source-of-an-allusion
Interpret figures of speech,1,multiple-choice,"What does the simile in this text suggest? Olga rubbed coconut oil on her hands, which were like the parched earth during a drought. Olga was baking something.",Olga's hands were dry and cracked.,https://uk.ixl.com/english/year-9/interpret-figures-of-speech
Classify figures of speech,1,multiple-choice,"Which figure of speech is used in this text? Unfortunately, the wild blueberries we picked were as sweet as vinegar.",onomatopoeia,https://uk.ixl.com/english/year-9/classify-figures-of-speech
Analyse the effects of figures of speech on meaning and tone,1,unknown,"Select the verbal irony in the passage. Singer: (singing) 'Cause every time I see your face, I can't help but fall from grace. I know . . . Joey: Wow! This girl is good. Phoebe: Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before. . . . Monica: (to Phoebe) Look at you. All jealous. Ross: Yeah Pheebs, come on, you two have completely different styles. From Friends, 'The One with Phoebe's Ex-Partner'. Written by Wil Calhoun. Copyright 1997 by Warner Bros Television and Bright/Kauffman/Crane Productions Submit",,https://uk.ixl.com/english/year-9/analyse-the-effects-of-figures-of-speech-on-meaning-and-tone
Analyse short stories,1,multiple-choice,"Read the story. Chiarelli's Bakery 1 Walking along the narrow brick pavement, Aram imagined that Italy looked just like this, with flower boxes outside the windows and aproned shopkeepers greeting each other in lilting Italian. He took a deep breath. The air smelled of lemons and baked bread and coffee, and he instantly longed for an espresso. He wondered if Ms Chiarelli served espresso at the bakery. 2 A vision floated into his mind: Ms Chiarelli, old and wise, teaching him to make espresso the 'secret Italian way'. He saw himself pouring perfect espresso into a tiny cup, Ms Chiarelli nodding in approval and customers clapping. Whoops! Aram nearly collided with a man in a suit. Aram had noticed and stepped aside just in time to avoid a crash. The man rushed past, and Aram glanced down at the map on his phone. He was almost there. Aram still couldn't believe his luck. All his friends were working tedious summer jobs—clearing tables and babysitting and collecting film tickets. And here he was, an actual baker's assistant, right in the heart of Little Italy. It was all thanks to his Aunt Rona. She knew Ms Chiarelli's daughter, and the two of them had cooked up a plan to get Ms Chiarelli some help at the bakery. Aram had jumped at the chance; it was the perfect apprenticeship for his future career. Chiarelli's Bakery, he was sure, would one day be known as the place where he got his start. Ah, here he was—the bakery. A faded wooden sign over the door read 'Chiarelli's World-Famous Pastry'. Aram straightened his shoulders and reached for the handle, just as the door was yanked open from the inside. Ms Chiarelli, Aram was thrilled to see, really did look wise. 'Rona's nephew?' the old woman asked. 'That's right. It's a pleasure to meet you, Ms Chiarelli.' Aram stuck out his hand. Ms Chiarelli looked at it for a second before turning around and beckoning him inside. 'Let's get started,' she said. 'I'm ready to learn everything,' Aram said. 'Great. Let's start with the til","He is sure that he will fail, but he wants to try. | He is confident that he will achieve success. | He is uncertain how things will turn out.",https://uk.ixl.com/english/year-9/analyse-short-stories
Read and understand informational passages,1,multiple-choice,"Read the text. The Statue of Liberty: France's Side of the Story 1 Rising high above the New York harbour, the copper-green Statue of Liberty can be seen from miles away. For many Americans, the majestic figure symbolises the country's willingness to welcome immigrants—especially those fleeing persecution or other hardships in their homelands. 2 However, the original purpose of the statue had nothing to do with immigration. Officially called Liberty Enlightening the World, the monument was given to America by France in 1875. The statue's designers intended it as a symbol not of sanctuary, but of democracy. They hoped that the statue would inspire France to embrace democratic government, rather than continuing to be ruled by monarchs. Democracy was not a new idea for mid-nineteenth-century France. In fact, back in 1776, France had supported the American colonies when they revolted against British rule and established their system of self-government. Thirteen years later, the French people launched a revolution of their own, overthrowing their king. Yet unlike the American Revolution, the French Revolution led to a series of unstable, temporary governments. By the mid-1860s, France was once again under the rule of an emperor. While some French people supported the emperor, others wanted a government of elected officials. One of the most ardent supporters of French democracy was a professor named Édouard René de Laboulaye. Laboulaye was an expert on the US Constitution. He taught and wrote about it in depth. Laboulaye believed wholeheartedly that France, too, should one day have a democracy. Laboulaye, however, did not want to force democracy through violent uprisings. Rather, he wanted to inspire change. In the early 1870s, he came up with an idea: the creation of a monument to the United States. Laboulaye believed that such a monument could help inspire change in several ways. First, it would memorialise France's important role in the American Revolution. Second, it ",It is about how the Statue of Liberty helped the French establish democracy. | It is about the early reception of the Statue of Liberty in the United States.,https://uk.ixl.com/english/year-9/read-and-understand-informational-passages
Trace an argument,1,multiple-choice,"Read the text. Setting up Camp 1 Holiday means something different to everyone. Some people love to bask in the sun on the beach and listen to the lapping waves of the ocean. Others pack up the car and take a trip across the country, stopping to see natural sights and roadside attractions along the way. And some people make camping a main part of their holiday. A camping holiday gives you the chance to enjoy nature and live a little differently from the way you normally do. In many ways, camping is the best type of holiday. 2 The clearest benefit to camping is the time you spend outside connecting with nature and with other people. Camping offers a chance to separate completely from a more modern, busy, technology-driven life. In fact, according to a survey of campers by GO Outdoors, a high percentage of campers strongly agree that camping is a time to get away from stress and enjoy not having something to do. Sixty-one percent of campers said that camping helps them escape the hustle and bustle of daily life. Of course, while there are relaxing aspects to camping, there's no getting around the fact that the packing and setup is a lot of work. Plus, some people just aren't fans of sleeping outside on the ground. However, there are plenty of ways to have a more comfortable camping experience. Some people stay in cabins that come with far more amenities than the typical tent. People who camp a lot sometimes travel in motorhomes or camper vans, which have indoor sleeping space for everyone. And for a high-end experience, you could even try 'glamping', or 'glamorous camping'. Many locations offer luxury tents with staff, meals and planned activities. Though there is some debate about whether 'glamping' is true camping, the point is that there are a range of camping options: you can make the experience entirely your own. You can find islands, beaches, meadows and deep forests to camp in, depending on what you'd like to do and where you'd like to explore. While you're cam",'Glamping' is the best way to camp. | Going to the beach is the most relaxing holiday. | Camping is the best choice for a holiday.,https://uk.ixl.com/english/year-9/trace-an-argument
Compare two texts with different genres,1,multiple-choice,"Read the following text from a diary. This excerpt is about life for Jews in Europe at the beginning of World War II. After May 1940 good times rapidly fled: first the war, then the capitulation, followed by the arrival of the Germans, which is when the sufferings of us Jews really began. Anti-Jewish decrees followed each other in quick succession. Jews must wear a yellow star, Jews must hand in their bicycles, Jews are banned from trams and are forbidden to drive. Jews are only allowed to do their shopping between three and five o'clock and then only in shops which bear the placard 'Jewish shop'. Jews must be indoors by eight o'clock and cannot even sit in their own gardens after that hour. Jews are forbidden to visit theatres, cinemas, and other places of entertainment. From Anne Frank, Anne Frank: The Diary of a Young Girl. Copyright 1952 by Otto H. Frank Based on this excerpt, what can you conclude about life for Jews in Europe at the beginning of World War II?",Jewish people could not associate with one another. | Jewish people had many of their rights taken away. | Jewish people could no longer afford to buy theatre tickets.,https://uk.ixl.com/english/year-9/compare-two-texts-with-different-genres
Compare illustrations of literary and historical subjects,2,multiple-choice,"Both of these images depict Perseus, a hero from Greek mythology. He is famous for going on a quest to defeat the snake-haired monster Medusa. Select the image that suggests that Perseus is feeling proud and triumphant. Submit",,https://uk.ixl.com/english/year-9/compare-illustrations-of-literary-and-historical-subjects
Order topics from broadest to narrowest,1,unknown,Order the topics from broadest to narrowest. broader major life events the first day of primary school major educational milestones narrower Submit,,https://uk.ixl.com/english/year-9/order-topics-from-broadest-to-narrowest
Organise information by topic,1,unknown,"A student council member is creating a poster for a school disco. Read the piece of information in each row, then select the section where it fits best. Sections Where and when Theme Wear white and receive a free glow necklace at the Glow-in-the-Dark Disco! Our annual spring disco will take place in the Eastwood Secondary school hall on Friday, 4 June, at 7:00 P.M. Submit",,https://uk.ixl.com/english/year-9/organise-information-by-topic
Transitions with conjunctive adverbs,2,multiple-choice,"Complete the text with the better conjunctive adverb. When hunting prey at night, Japanese sea catfish use their sense of smell, their hearing and their ability to detect vibrations. ﻿, as scientists have recently discovered, these fish can additionally notice slight chemical changes in the water that indicate the presence of sea worms.",Also | Still,https://uk.ixl.com/english/year-9/transitions-with-conjunctive-adverbs
Distinguish facts from opinions,2,multiple-choice,Which sentence states a fact?,Temari balls are a traditional Japanese art form still practised by artists today.,https://uk.ixl.com/english/year-9/distinguish-facts-from-opinions
Choose evidence to support a claim,1,multiple-choice,Read the claim below. People should not keep wild animals as pets. Select the piece of evidence that best supports this claim.,Wild animals often carry diseases that are incurable—and sometimes fatal—in humans. | Certain places have laws that allow for certain wild animals to be kept as pets.,https://uk.ixl.com/english/year-9/choose-evidence-to-support-a-claim
Identify supporting details in informational texts,1,unknown,"Select the best evidence to support the statement that the first electric cars had several drawbacks. In the late 1800s there was a race to invent the 'horseless carriage'.. . .Coal was too heavy to use for fuel, so people tried other things, including natural gas, gunpowder, and something we now think of as modern: batteries. For a while, batteries seemed to be the answer—by 1897 New York City had a fleet of electric taxis, and in 1899 the world land-speed record of 68 miles per hour (109 kilometres per hour) was set in an electric car. But the batteries were heavy and cumbersome relative to the power they supplied, and they burned out if you tried to go too fast. From Richard Hammond, Car Science. Copyright 2008 by DK Publishing Submit",,https://uk.ixl.com/english/year-9/identify-supporting-details-in-informational-texts
Identify supporting details in literary texts,1,unknown,"This passage is about a young boy, Carter, replacing a lamp on a ship's mast. Select the best evidence to support the statement that Carter enjoys the task of replacing the lamp. As soon as he'd pocketed the old lamp in his rain slicker, he pulled out the new one and fitted it into the fixture, making sure not to let go before he'd tightened it down. Carter had changed plenty of lightbulbs before, but never like this. If anything, it was all too easy and over too fast. When he was done, he unwound his safety line and gave a hand signal to Dex's first mate, Joe Kahali, down below. Joe put both hands on the winch at the base of the mast and started cranking Carter back down the deck. From Jeff Probst, Stranded. Copyright 2013 by Jeff Probst Submit",,https://uk.ixl.com/english/year-9/identify-supporting-details-in-literary-texts
Identify counterclaims,1,multiple-choice,Consider this claim: The word isthmus is the hardest word to pronounce in the English language. Now consider how someone might argue against this. Which sentence presents a counterclaim to the above claim? People in landlocked areas don't usually get a lot of practice saying isthmus since the term refers to a strip of land with seas on either side of it.,"Most people don't even know how many syllables are in otorhinolaryngologist, so they call these people ear, nose and throat doctors.",https://uk.ixl.com/english/year-9/identify-counterclaims
Use personification,1,multiple-choice,"Complete the sentence so that it uses personification. The sorceress peered into the mirror, noticing how the amulet ﻿ her neck.",gently embraced | brightly sparkled on,https://uk.ixl.com/english/year-9/use-personification
Identify active and passive voice,1,multiple-choice,Which sentence is in passive voice?,"By this time tomorrow, a wrecking ball will have demolished the historic theatre downtown. | By this time tomorrow, the theatre will have been demolished by a wrecking ball.",https://uk.ixl.com/english/year-9/identify-active-and-passive-voice
Rewrite the sentence in active voice,1,unknown,Rewrite the sentence in active voice using simple past tense. The liquid was absorbed by the sponge. The sponge the liquid. Submit,,https://uk.ixl.com/english/year-9/rewrite-the-sentence-in-active-voice
Use parallel structure,1,multiple-choice,"Complete the sentence. At the town hall meeting, the speaker reminded the audience of the importance of voting. 'Voting is a way to get information, and to make your voices heard,' he said.",exercise your rights | to exercise your rights,https://uk.ixl.com/english/year-9/use-parallel-structure
Remove redundant words or phrases,1,unknown,"Select the word or phrase that is redundant and can be removed without changing the meaning of the text. A mehndi ceremony, which takes place before an Indian wedding, is a celebratory celebration where an artist draws on the bride's hands and feet with henna, a plant-based dye. Submit",,https://uk.ixl.com/english/year-9/remove-redundant-words-or-phrases
Use the correct frequently confused word,1,multiple-choice,"Complete the text with the correct word. The audience was charmed by the performer, who maintained a lively humour and wit throughout his act.",hole | whole,https://uk.ixl.com/english/year-9/use-the-correct-frequently-confused-word
Correct errors with frequently confused words,1,unknown,Fix the one word that is used incorrectly. The flight from London to Australia is more than twenty hours Do you think that is two long to travel for a weeklong trip Submit,,https://uk.ixl.com/english/year-9/correct-errors-with-frequently-confused-words
Suggest appropriate revisions,1,multiple-choice,"Read the following text from a student essay. How can the writer best improve their ideas and development? Why is smoking cigarettes bad for your health? Cigarettes contain poisonous substances like carbon monoxide and tar, which can harm every part of your body. Smoking causes heart disease and damages your blood vessels. Eating a diet high in fat, sugar and salt can also lead to heart disease. A lack of exercise contributes to heart disease, too. Smoking damages your lungs and can cause breathing problems or lung cancer. In fact, it can cause cancer in any organ in your body.",by focusing on one main idea | by stating the main idea clearly,https://uk.ixl.com/english/year-9/suggest-appropriate-revisions
Identify plagiarism,1,multiple-choice,"Compare the student text with the source. Source: Jane O'Connor, The Emperor's Silent Army, page 10. Published by Penguin, 2002: Until 1974, nobody knew that right below the people of northern China an enormous underground army had been standing guard, silently and watchfully, for more than 2,200 years. Student text: No one knew that an army of terracotta soldiers had been buried underground in northern China for over 2,200 years, until 1974 (O'Connor 10). Is the student text plagiarised?","No, it is not plagiarised. | Yes, because it fails to use quotation marks.",https://uk.ixl.com/english/year-9/identify-plagiarism
Words with pre-,1,multiple-choice,"If you prearrange a meeting, when do you plan it?",in advance | on the spot,https://uk.ixl.com/english/year-9/words-with-pre
Words with re-,1,multiple-choice,Which might you reseal? a brand-new envelope,an envelope that was opened,https://uk.ixl.com/english/year-9/words-with-re
Words with re-,2,multiple-choice,Which might you reseal?,a brand-new envelope | an envelope that was opened,https://uk.ixl.com/english/year-9/words-with-re
Words with sub-,1,multiple-choice,Which set is a subset of the other? all numbers,all even numbers,https://uk.ixl.com/english/year-9/words-with-sub
Words with sub-,2,multiple-choice,Which set is a subset of the other?,all numbers | all even numbers,https://uk.ixl.com/english/year-9/words-with-sub
Words with mis-,1,multiple-choice,How could a news report misrepresent an event? by giving too many details,by leaving out important details,https://uk.ixl.com/english/year-9/words-with-mis
Words with mis-,2,multiple-choice,How could a news report misrepresent an event?,by giving too many details | by leaving out important details,https://uk.ixl.com/english/year-9/words-with-mis
"Words with un-, dis-, in-, im- and non-",1,multiple-choice,Why might you feel disconnected from friends? because you've been spending a lot of time with them,because you haven't heard from them in a while,https://uk.ixl.com/english/year-9/words-with-un-dis-in-im-and-non
"Words with un-, dis-, in-, im- and non-",2,multiple-choice,Why might you feel disconnected from friends?,because you've been spending a lot of time with them | because you haven't heard from them in a while,https://uk.ixl.com/english/year-9/words-with-un-dis-in-im-and-non
Words with -ful,1,multiple-choice,"If you had an eventful day, how might you describe it? boring",exciting,https://uk.ixl.com/english/year-9/words-with-ful
Words with -ful,2,multiple-choice,"If you had an eventful day, how might you describe it?",boring | exciting,https://uk.ixl.com/english/year-9/words-with-ful
Words with -less,1,multiple-choice,What might fix a flavourless sauce? adding water,adding spices,https://uk.ixl.com/english/year-9/words-with-less
Words with -less,2,multiple-choice,What might fix a flavourless sauce?,adding water | adding spices,https://uk.ixl.com/english/year-9/words-with-less
Words with -able and -ible,1,multiple-choice,Which is measurable? the depth of a pond,the depth of someone's feelings,https://uk.ixl.com/english/year-9/words-with-able-and-ible
Words with -able and -ible,2,multiple-choice,Which is measurable?,the depth of a pond | the depth of someone's feelings,https://uk.ixl.com/english/year-9/words-with-able-and-ible
Use Greek and Latin roots as clues to the meanings of words,1,multiple-choice,The root chron means time. What does the word chronic mean? happening in an official or formal way,happening frequently or for a long duration | happening in a vexing or disturbing way,https://uk.ixl.com/english/year-9/use-greek-and-latin-roots-as-clues-to-the-meanings-of-words
Use Greek and Latin roots as clues to the meanings of words,2,multiple-choice,The root chron means time. What does the word chronic mean?,happening in an official or formal way | happening frequently or for a long duration | happening in a vexing or disturbing way,https://uk.ixl.com/english/year-9/use-greek-and-latin-roots-as-clues-to-the-meanings-of-words
Use words as clues to the meanings of Greek and Latin roots,1,multiple-choice,The word advocate contains the root voc. What does the root voc mean?,hear or listen | call or speak | own or self,https://uk.ixl.com/english/year-9/use-words-as-clues-to-the-meanings-of-greek-and-latin-roots
Determine the meanings of Greek and Latin roots,1,multiple-choice,What does the root min mean? group,measure | small | bad or evil,https://uk.ixl.com/english/year-9/determine-the-meanings-of-greek-and-latin-roots
Determine the meanings of Greek and Latin roots,2,multiple-choice,What does the root min mean?,group | measure | small | bad or evil,https://uk.ixl.com/english/year-9/determine-the-meanings-of-greek-and-latin-roots
Determine the meanings of words with Greek and Latin roots,1,multiple-choice,What does the word maleficent mean? working to cause harm to others,working to establish your trustworthiness | working to help others | working for a long period of time,https://uk.ixl.com/english/year-9/determine-the-meanings-of-words-with-greek-and-latin-roots
